list,phase,repetitions,interval,seconds
1,1,24.75,0.3333333333333333,1405.0
2,1,30.375,0.3333333333333333,1840.0
3,1,30.625,0.3333333333333333,1830.0
4,1,35.375,0.3333333333333333,2180.0
5,1,30.5,0.3333333333333333,1800.0
6,1,29.375,0.3333333333333333,1815.0
7,1,34.125,0.3333333333333333,2040.0
8,1,29.125,0.3333333333333333,1725.0
9,1,31.42857143,0.3333333333333333,1935.0
10,1,32.0,0.3333333333333333,1830.0
1,2,11.875,0.3333333333333333,670.0
2,2,15.625,0.3333333333333333,1210.0
3,2,16.875,0.3333333333333333,1100.0
4,2,17.75,0.3333333333333333,960.0
5,2,14.25,0.3333333333333333,840.0
6,2,16.375,0.3333333333333333,1345.0
7,2,17.5,0.3333333333333333,1110.0
8,2,14.75,0.3333333333333333,865.0
9,2,17.42857143,0.3333333333333333,1320.0
10,2,20.125,0.3333333333333333,1235.0
1,1,28.125,1.0,1690.0
2,1,29.5,1.0,1790.0
3,1,34.25,1.0,2070.0
4,1,31.375,1.0,1875.0
5,1,30.0,1.0,1775.0
6,1,28.75,1.0,1765.0
7,1,28.25,1.0,1680.0
8,1,32.125,1.0,1905.0
9,1,29.75,1.0,1805.0
10,1,34.25,1.0,2065.0
1,2,17.125,1.0,1280.0
2,2,20.125,1.0,1330.0
3,2,19.75,1.0,1235.0
4,2,16.875,1.0,1130.0
5,2,20.25,1.0,1245.0
6,2,18.625,1.0,1170.0
7,2,19.125,1.0,1125.0
8,2,19.375,1.0,1250.0
9,2,18.625,1.0,1155.0
10,2,22.25,1.0,1325.0
1,1,28.125,9.0,1815.0
2,1,28.75,9.0,1780.0
3,1,32.625,9.0,1935.0
4,1,31.16666667,9.0,1525.0
5,1,30.0,9.0,1770.0
6,1,30.875,9.0,1815.0
7,1,31.57142857,9.0,1635.0
8,1,31.375,9.0,1845.0
9,1,35.125,9.0,1950.0
10,1,,9.0,
1,2,19.0,9.0,1240.0
2,2,22.125,9.0,1350.0
3,2,20.875,9.0,1350.0
4,2,21.83333333,9.0,975.0
5,2,20.75,9.0,1275.0
6,2,22.375,9.0,1335.0
7,2,24.85714286,9.0,1220.0
8,2,22.25,9.0,1380.0
9,2,28.25,9.0,1585.0
10,2,,9.0,
1,1,27.5,24.0,1670.0
2,1,29.125,24.0,1840.0
3,1,32.875,24.0,1930.0
4,1,30.375,24.0,1740.0
5,1,31.625,24.0,1875.0
6,1,28.125,24.0,1710.0
7,1,32.875,24.0,1905.0
8,1,34.25,24.0,2095.0
9,1,31.75,24.0,1860.0
10,1,33.625,24.0,1980.0
1,2,16.375,24.0,1105.0
2,2,21.375,24.0,1325.0
3,2,21.0,24.0,1205.0
4,2,24.0,24.0,1365.0
5,2,23.125,24.0,1410.0
6,2,19.75,24.0,1215.0
7,2,21.375,24.0,1325.0
8,2,21.625,24.0,1235.0
9,2,22.75,24.0,1290.0
10,2,21.875,24.0,1275.0
1,1,27.375,48.0,1710.0
2,1,28.875,48.0,1635.0
3,1,32.5,48.0,1950.0
4,1,34.125,48.0,1935.0
5,1,31.75,48.0,1830.0
6,1,33.375,48.0,2130.0
7,1,31.75,48.0,1890.0
8,1,35.125,48.0,2085.0
9,1,30.125,48.0,1740.0
10,1,29.125,48.0,1695.0
1,2,18.875,48.0,1195.0
2,2,22.875,48.0,1340.0
3,2,25.875,48.0,1580.0
4,2,24.0,48.0,1440.0
5,2,26.125,48.0,1500.0
6,2,27.0,48.0,1485.0
7,2,23.5,48.0,1440.0
8,2,25.75,48.0,1460.0
9,2,24.0,48.0,1335.0
10,2,23.875,48.0,1375.0
1,1,28.25,144.0,1780.0
2,1,27.5,144.0,1605.0
3,1,30.0,144.0,1870.0
4,1,32.375,144.0,2020.0
5,1,36.0,144.0,2090.0
6,1,29.0,144.0,1740.0
7,1,27.5,144.0,1710.0
8,1,34.375,144.0,2025.0
9,1,34.875,144.0,2100.0
10,1,32.25,144.0,1890.0
1,2,22.375,144.0,1370.0
2,2,25.625,144.0,1560.0
3,2,27.25,144.0,1545.0
4,2,30.25,144.0,1805.0
5,2,30.5,144.0,1785.0
6,2,25.75,144.0,1585.0
7,2,22.125,144.0,1350.0
8,2,29.625,144.0,1665.0
9,2,24.375,144.0,1415.0
10,2,21.75,144.0,1275.0
1,1,26.28571429,744.0,1480.0
2,1,27.875,744.0,1680.0
3,1,28.875,744.0,1770.0
4,1,27.83333333,744.0,1440.0
5,1,27.5,744.0,1650.0
6,1,32.75,744.0,1890.0
7,1,32.375,744.0,1815.0
8,1,32.0,744.0,1910.0
9,1,29.5,744.0,1490.0
10,1,28.85714286,744.0,1710.0
1,2,25.42857143,744.0,1380.0
2,2,25.875,744.0,1450.0
3,2,24.375,744.0,1530.0
4,2,34.83333333,744.0,1510.0
5,2,29.625,744.0,1760.0
6,2,30.875,744.0,1785.0
7,2,31.75,744.0,1745.0
8,2,24.625,744.0,1505.0
9,2,28.33333333,744.0,1260.0
10,2,26.57142857,744.0,1395.0
