id,polygon,R,Rc,correct
1,9,5.5,11.0,1
1,9,5.5,10.45,1
1,9,5.5,9.9,1
1,9,5.5,9.35,1
1,9,5.5,8.8,1
1,9,5.5,8.25,1
1,9,5.5,7.7,1
1,9,5.5,7.15,1
1,9,5.5,6.6,1
1,9,5.5,6.05,1
1,9,5.5,5.5,1
1,9,5.5,5.5,0
1,9,5.5,6.05,1
1,9,5.5,5.5,0
1,9,5.5,6.05,1
1,3,3.5,7.0,1
1,3,3.5,6.65,1
1,3,3.5,6.3,1
1,3,3.5,5.95,1
1,3,3.5,5.6,1
1,3,3.5,5.25,1
1,3,3.5,4.9,1
1,3,3.5,4.55,1
1,3,3.5,4.2,1
1,3,3.5,3.85,1
1,3,3.5,3.5,0
1,3,3.5,3.85,1
1,3,3.5,3.5,0
1,3,3.5,3.85,0
1,3,3.5,4.2,1
1,5,5.5,11.0,1
1,5,5.5,10.45,1
1,5,5.5,9.9,1
1,5,5.5,9.35,1
1,5,5.5,8.8,1
1,5,5.5,8.25,1
1,5,5.5,7.7,1
1,5,5.5,7.15,1
1,5,5.5,6.6,1
1,5,5.5,6.05,0
1,5,5.5,6.6,1
1,5,5.5,6.05,1
1,5,5.5,5.5,0
1,5,5.5,6.05,1
1,7,1.0,2.0,1
1,7,1.0,1.9,1
1,7,1.0,1.8,1
1,7,1.0,1.7,1
1,7,1.0,1.6,1
1,7,1.0,1.5,1
1,7,1.0,1.4,1
1,7,1.0,1.3,1
1,7,1.0,1.2,1
1,7,1.0,1.1,1
1,7,1.0,1.0,1
1,7,1.0,1.0,0
1,7,1.0,1.1,0
1,7,1.0,1.2,1
1,7,1.0,1.1,1
1,7,1.0,1.0,0
1,7,1.0,1.1,0
1,7,1.0,1.2,0
1,7,1.0,1.3,0
1,7,1.0,1.4,0
1,7,1.0,1.5,1
1,5,3.5,7.0,1
1,5,3.5,6.65,1
1,5,3.5,6.3,1
1,5,3.5,5.95,1
1,5,3.5,5.6,1
1,5,3.5,5.25,1
1,5,3.5,4.9,1
1,5,3.5,4.55,1
1,5,3.5,4.2,1
1,5,3.5,3.85,1
1,5,3.5,3.5,1
1,5,3.5,3.5,1
1,5,3.5,3.5,0
1,5,3.5,3.85,1
1,5,3.5,3.5,0
1,5,3.5,3.85,1
1,7,0.5,1.0,1
1,7,0.5,0.95,1
1,7,0.5,0.9,1
1,7,0.5,0.85,1
1,7,0.5,0.8,1
1,7,0.5,0.75,1
1,7,0.5,0.7,1
1,7,0.5,0.65,1
1,7,0.5,0.6,1
1,7,0.5,0.55,1
1,7,0.5,0.5,0
1,7,0.5,0.55,1
1,7,0.5,0.5,0
1,7,0.5,0.55,1
1,9,0.5,1.0,1
1,9,0.5,0.95,1
1,9,0.5,0.9,1
1,9,0.5,0.85,1
1,9,0.5,0.8,1
1,9,0.5,0.75,1
1,9,0.5,0.7,1
1,9,0.5,0.65,1
1,9,0.5,0.6,1
1,9,0.5,0.55,1
1,9,0.5,0.5,0
1,9,0.5,0.55,0
1,9,0.5,0.6,0
1,9,0.5,0.65,0
1,9,0.5,0.7,1
1,9,0.5,0.65,0
1,9,0.5,0.7,1
1,3,2.0,4.0,1
1,3,2.0,3.8,1
1,3,2.0,3.6,1
1,3,2.0,3.4,1
1,3,2.0,3.2,1
1,3,2.0,3.0,1
1,3,2.0,2.8,1
1,3,2.0,2.6,1
1,3,2.0,2.4,1
1,3,2.0,2.2,1
1,3,2.0,2.0,1
1,3,2.0,2.0,0
1,3,2.0,2.2,1
1,3,2.0,2.0,0
1,3,2.0,2.2,1
1,5,2.0,4.0,1
1,5,2.0,3.8,1
1,5,2.0,3.6,1
1,5,2.0,3.4,1
1,5,2.0,3.2,1
1,5,2.0,3.0,1
1,5,2.0,2.8,1
1,5,2.0,2.6,1
1,5,2.0,2.4,1
1,5,2.0,2.2,1
1,5,2.0,2.0,1
1,5,2.0,2.0,1
1,5,2.0,2.0,1
1,5,2.0,2.0,0
1,5,2.0,2.2,1
1,5,2.0,2.0,1
1,5,2.0,2.0,1
1,5,2.0,2.0,0
1,5,2.0,2.2,1
1,9,1.0,2.0,1
1,9,1.0,1.9,1
1,9,1.0,1.8,1
1,9,1.0,1.7,1
1,9,1.0,1.6,1
1,9,1.0,1.5,1
1,9,1.0,1.4,1
1,9,1.0,1.3,1
1,9,1.0,1.2,1
1,9,1.0,1.1,1
1,9,1.0,1.0,0
1,9,1.0,1.1,1
1,9,1.0,1.0,1
1,9,1.0,1.0,1
1,9,1.0,1.0,1
1,9,1.0,1.0,1
1,9,1.0,1.0,0
1,9,1.0,1.1,1
1,3,0.5,1.0,1
1,3,0.5,0.95,1
1,3,0.5,0.9,1
1,3,0.5,0.85,1
1,3,0.5,0.8,1
1,3,0.5,0.75,1
1,3,0.5,0.7,1
1,3,0.5,0.65,1
1,3,0.5,0.6,1
1,3,0.5,0.55,1
1,3,0.5,0.5,1
1,3,0.5,0.5,1
1,3,0.5,0.5,0
1,3,0.5,0.55,1
1,3,0.5,0.5,0
1,3,0.5,0.55,0
1,3,0.5,0.6,1
1,7,5.5,11.0,1
1,7,5.5,10.45,1
1,7,5.5,9.9,1
1,7,5.5,9.35,1
1,7,5.5,8.8,1
1,7,5.5,8.25,1
1,7,5.5,7.7,1
1,7,5.5,7.15,1
1,7,5.5,6.6,1
1,7,5.5,6.05,1
1,7,5.5,5.5,1
1,7,5.5,5.5,1
1,7,5.5,5.5,1
1,7,5.5,5.5,1
1,7,5.5,5.5,1
1,7,5.5,5.5,0
1,7,5.5,6.05,1
1,7,5.5,5.5,1
1,7,5.5,5.5,0
1,7,5.5,6.05,1
1,9,3.5,7.0,1
1,9,3.5,6.65,1
1,9,3.5,6.3,1
1,9,3.5,5.95,1
1,9,3.5,5.6,1
1,9,3.5,5.25,1
1,9,3.5,4.9,1
1,9,3.5,4.55,1
1,9,3.5,4.2,1
1,9,3.5,3.85,1
1,9,3.5,3.5,1
1,9,3.5,3.5,1
1,9,3.5,3.5,0
1,9,3.5,3.85,1
1,9,3.5,3.5,0
1,9,3.5,3.85,1
1,3,5.5,11.0,1
1,3,5.5,10.45,1
1,3,5.5,9.9,1
1,3,5.5,9.35,1
1,3,5.5,8.8,1
1,3,5.5,8.25,1
1,3,5.5,7.7,1
1,3,5.5,7.15,0
1,3,5.5,7.7,1
1,3,5.5,7.15,1
1,3,5.5,6.6,1
1,3,5.5,6.05,1
1,3,5.5,5.5,0
1,3,5.5,6.05,1
1,7,3.5,7.0,1
1,7,3.5,6.65,1
1,7,3.5,6.3,1
1,7,3.5,5.95,1
1,7,3.5,5.6,1
1,7,3.5,5.25,1
1,7,3.5,4.9,1
1,7,3.5,4.55,1
1,7,3.5,4.2,1
1,7,3.5,3.85,1
1,7,3.5,3.5,0
1,7,3.5,3.85,1
1,7,3.5,3.5,1
1,7,3.5,3.5,1
1,7,3.5,3.5,0
1,7,3.5,3.85,1
1,5,0.5,1.0,1
1,5,0.5,0.95,1
1,5,0.5,0.9,1
1,5,0.5,0.85,1
1,5,0.5,0.8,1
1,5,0.5,0.75,1
1,5,0.5,0.7,1
1,5,0.5,0.65,1
1,5,0.5,0.6,1
1,5,0.5,0.55,1
1,5,0.5,0.5,0
1,5,0.5,0.55,1
1,5,0.5,0.5,1
1,5,0.5,0.5,1
1,5,0.5,0.5,0
1,5,0.5,0.55,1
1,7,2.0,4.0,1
1,7,2.0,3.8,1
1,7,2.0,3.6,1
1,7,2.0,3.4,1
1,7,2.0,3.2,1
1,7,2.0,3.0,1
1,7,2.0,2.8,1
1,7,2.0,2.6,1
1,7,2.0,2.4,1
1,7,2.0,2.2,1
1,7,2.0,2.0,0
1,7,2.0,2.2,1
1,7,2.0,2.0,1
1,7,2.0,2.0,1
1,7,2.0,2.0,1
1,7,2.0,2.0,1
1,7,2.0,2.0,1
1,7,2.0,2.0,0
