stimulus,aggressive,attractive,caring,confident,dominant,emot_stable,intelligent,mean,responsible,sociable,trustworthy,unhappy,weird
AF01NES,-0.832199043,2.134415954,1.289156753,1.232053706,-0.238394861,1.303235167,0.874379751,-0.482056057,1.849571456,1.657792934,2.035387058,-0.790388719,-1.165763853
AF02NES,-0.413157247,0.111289526,0.444956186,-1.194178637,-0.152550414,-0.528183416,-0.162397454,-0.066315516,-0.395247673,-0.372132656,-0.19606119,0.954119963,0.26915622
AF03NES,-0.852640106,-0.22375052,0.998530329,0.335082961,-1.231737748,-0.035594969,-1.067752196,-0.528249451,0.056296404,0.286584919,0.27620299,-0.366376192,0.651801573
AF04NES,-0.392716184,-0.648993654,0.015936225,-0.576592222,-0.43461074,-0.262943483,-0.980137221,0.626585387,-0.537161526,-0.640996973,-0.042575331,0.687597803,0.823991981
AF05NES,-1.51697466,0.497874193,1.164602571,0.217447453,-0.827042498,0.734863883,0.728354793,-0.770764766,0.9464833,0.824313553,1.138085117,-1.299203751,-0.237848873
AF06NES,-0.903742764,1.477222018,1.178441925,1.334984775,-0.299712323,1.379018005,0.465509868,-0.81695816,1.514138712,1.442701481,1.433250229,-1.008452304,-1.050970247
AF07NES,-0.985507017,0.600963438,1.247638693,0.952669375,0.129509913,0.861168612,0.859777255,-0.482056057,0.75296441,1.483031128,0.38246243,-1.226515889,-0.304811809
AF08NES,-0.157643957,1.863806686,0.015936225,0.893851622,0.387043254,0.583298207,0.202664942,0.418715116,0.817470707,1.630906502,0.913759632,-0.172541894,-0.697023296
AF09NES,-0.423377779,1.232385062,0.514152954,0.526240661,-0.544982172,0.292797328,0.042037488,0.049167968,0.649754335,1.039405006,0.85472661,-0.499637272,-0.572663556
AF10NES,0.700880697,-1.42216299,-2.004609395,-1.811765051,1.17190677,-1.740708822,-2.571809268,1.59664665,-0.820989232,-1.729897455,-1.601047123,1.378132489,1.876266701
AF11NES,0.353382623,1.82514822,0.098972347,0.982078252,1.208697247,0.93695145,1.473082081,0.222393194,1.785065159,1.483031128,0.795693587,0.069750978,-1.816260953
AF12NES,0.394264749,-0.829399833,-1.146569474,0.379196276,0.460624208,-0.629227199,-0.775702279,0.822907309,-1.25963205,-0.708213052,-1.376721638,0.130324197,0.833558115
AF13NES,-1.997339646,1.683400508,1.815052189,0.702693922,-1.820385385,1.416909424,1.093417189,-1.74082603,0.920680782,1.725009013,1.208924744,-1.602069841,-1.165763853
AF14NES,0.292059433,-0.481473632,-1.160408828,-1.061838691,0.276671822,-1.424946997,-0.600472329,1.434969773,-0.511359007,-0.735099484,-0.384966861,1.232756766,0.938785587
AF15NES,-1.537415724,0.562304971,1.164602571,-1.488267406,-2.126972696,-0.705010037,0.494714859,-0.759216418,1.114199672,-0.224257282,0.335236012,1.462934995,-0.639626493
AF16NES,1.426538441,-1.447935301,-1.201926889,-0.400138961,1.17190677,-0.995510916,-1.22837965,1.689033437,-1.208027013,-1.286271333,-0.998910295,0.820858883,1.943229638
AF17NES,-0.004335983,-0.855172144,0.431116832,0.71739836,-0.532718679,-0.237682537,-0.191602445,-0.239540741,-0.511359007,0.286584919,0.240783176,-1.396120899,0.890954918
AF18NES,-0.055438641,0.356126482,0.707903904,0.805624991,0.374779761,0.545406788,1.224839651,0.164651452,1.294817303,0.017720603,0.181750154,-0.620783708,0.010870607
AF19NES,-1.547636255,0.755597305,1.330674814,-0.194276823,-1.084575839,0.583298207,0.100447471,-1.579149152,1.204508488,0.649551747,1.527703065,-0.111968676,-1.175329987
AF20NES,-0.157643957,-0.120661275,-0.12245731,-0.532478907,-0.361029785,-0.199791118,-0.045577487,0.441811813,0.469136704,-0.116711556,0.240783176,0.033407048,0.087399677
AF21NES,0.608895913,-0.958261389,-0.938979171,-1.179474199,0.411570239,-1.892274498,-0.673484808,1.088519322,-0.795186713,-1.178725606,-1.128782944,-0.136197963,1.64667949
AF22NES,-1.077491801,0.459215727,0.348080711,-0.194276823,-0.716671066,0.444363004,0.07124248,0.24548989,0.972285819,-0.331803009,0.252589781,-0.184656538,-0.83094917
AF23NES,0.292059433,-0.507245943,-0.745228221,-0.297207892,0.276671822,-0.907097605,-0.279217421,0.915294096,-0.395247673,-0.627553757,-0.290514026,0.372617069,0.517875699
AF24NES,-1.51697466,-0.365498231,0.970851621,-1.605902913,-1.464744104,-0.363987267,-0.731894792,-1.174956959,-0.175926264,-0.278030146,-0.361353652,-0.148312607,-0.18045207
AF25NES,1.068819835,0.291695704,-0.855943049,-0.003119123,0.607786118,-0.818684294,-1.870889468,1.423421424,-1.117718197,-0.049495476,-0.231481003,1.172183548,0.517875699
AF26NES,-0.4949215,-0.133547431,0.929333561,0.379196276,-0.311975815,-0.300834902,-0.293819916,0.072264665,-0.05981493,0.179039193,0.748467169,-0.475407984,-0.610928092
AF27NES,-0.801537448,1.580311263,0.721743257,0.129220823,-1.133629809,0.431732531,-1.257584642,-0.655281283,0.585248038,1.066291437,0.701240751,0.081865622,-0.83094917
AF28NES,-0.924183827,-0.880944455,0.278883943,-0.385434523,-0.152550414,-0.515552943,-0.921727238,-0.562894496,-0.25333382,-0.627553757,-0.101608354,-0.087739389,0.99618239
AF29NES,-0.617567879,0.665394216,1.247638693,1.129122637,0.521941671,0.848538139,0.085844976,-0.424314315,1.15290345,1.362042186,1.008212468,-1.190171958,0.202193283
AF30NES,-0.770875853,0.665394216,1.358353521,0.085107507,-1.047785362,0.734863883,0.640739818,-1.047925127,1.281916044,0.38068743,1.291570975,-0.875191224,-0.7831185
AF31NES,-0.729993727,0.407671104,1.815052189,0.835033868,0.043665466,0.431732531,1.414672097,-0.851603205,0.9464833,1.106621085,0.984599259,-0.354261548,-0.697023296
AF32NES,0.138751459,0.948889639,0.057454286,1.452620282,0.681367072,0.368580166,-0.060179983,0.049167968,0.649754335,0.972188927,0.370655826,-1.141713383,-0.543965155
AF33NES,2.029549806,-1.666999946,-2.10148487,-1.488267406,0.963427398,-2.637472403,-3.258126573,2.72838479,-2.214325243,-1.366930628,-2.203183952,1.063151755,2.603292872
AM01NES,0.987055582,-0.533018254,-0.426923089,0.320378522,1.1228528,-0.490291997,-0.264614925,1.16935776,-0.472655229,-0.237700498,-1.022523504,-0.172541894,1.340563208
AM02NES,1.784257047,-1.1000091,-1.644786203,-0.444252277,1.294541694,-0.831314767,0.334087405,1.654388392,-0.485556489,-1.501362786,-1.258655593,1.14795426,0.651801573
AM03NES,2.18285778,-1.512366079,-2.156842285,-1.252996391,1.355859156,-1.500729835,-1.374404609,2.324192597,-1.827287462,-2.334842168,-2.462929251,1.11161033,1.359695475
AM04NES,-0.903742764,-0.288181298,0.431116832,-0.811863238,-1.280791718,0.633820099,0.874379751,-1.394375578,0.327222851,0.273141703,-0.042575331,-0.523866559,-0.333510211
AM05NES,0.762203887,-1.022692167,-1.201926889,-1.179474199,0.092719435,-1.046032808,0.801367272,0.153103103,-0.756482935,-1.219055254,-0.384966861,0.372617069,0.632669305
AM06NES,0.496470065,-0.623221343,0.015936225,-0.106050192,0.362516269,-0.035594969,-0.308422412,-0.216444044,-0.472655229,-0.667883405,-0.585679138,-0.669242282,0.833558115
AM07NES,2.090872995,-1.035578322,-1.727822324,0.217447453,1.588865513,-1.778600241,-0.615074825,2.416579384,-1.853089981,-1.205612038,-2.368476415,0.820858883,1.1970712
AM08NES,-0.474480437,1.193726595,1.247638693,0.937964937,0.21535436,1.808454086,1.414672097,-1.486762365,1.114199672,1.469587912,1.433250229,-1.43246483,-1.079668649
AM09NES,-0.270069805,-0.855172144,0.804779379,0.452718468,-0.324239308,0.987473342,0.348689901,-0.967086689,0.198210257,0.071493466,0.016457691,-0.56021049,-0.83094917
AM10NES,0.292059433,-0.404156698,0.30656265,1.18794039,1.233224232,1.176930437,1.458479585,-0.482056057,0.75296441,0.05805025,-0.137028167,-1.299203751,-0.955308909
AM11NES,-0.392716184,0.910231172,0.195847822,1.173235952,0.742684534,1.972650235,0.757559784,-1.059473476,1.178705969,0.797427121,1.30337758,-0.875191224,-1.337954262
AM12NES,0.27161837,0.162834148,-0.219332785,0.408605153,0.178563882,0.21701449,-0.001769999,-0.181798999,-0.704877898,0.528562804,-0.7509716,0.190897415,-0.333510211
AM13NES,-0.597126816,-0.288181298,1.136923864,0.849738306,-0.594036141,1.000103815,1.72132451,-1.117215218,0.004691367,0.488233157,0.14633034,-1.868592001,-0.869213705
AM14NES,0.27161837,2.044212865,0.154329761,1.65848242,1.147379785,1.176930437,1.19563466,0.360973374,0.275617814,1.415815049,1.020019072,-1.044796235,-0.917044374
AM15NES,-1.057050738,-0.648993654,-0.426923089,-1.605902913,-1.89396634,-0.477661524,-1.0531497,-1.221150353,-1.427348422,-0.694769836,-0.077995145,0.372617069,0.460478896
AM16NES,0.220515712,-1.228870656,-0.46844115,-0.341321207,-0.459137724,-0.439770105,-0.3522299,0.03761962,-1.130619457,-0.667883405,-0.715551787,0.772400308,1.168372799
